Mission,Rank,Total Score,Clear Time,Enemy Score,Egg Score,Combo Bonus,Mission Bonus,Defeated,Hatched,Driver,Dunk,Shoot,Tame,Hatch
Circus 7,S,20100,02:55.82,19100,0,1000,0,103,0,0,6,7,0,0
Circus 7,S,15700,03:00.65,14900,300,500,0,100,2,0,4,3,0,1
Circus 7,S,30200,03:01.96,27300,400,2500,0,103,1,0,5,9,0,1
Circus 7,?,17600,03:18.06,16700,400,500,0,107,2,0,2,7,0,2
Circus 7,S,18400,03:46.41,18400,0,0,0,147,0,0,6,0,0,0
Circus 7,S,62200,04:38.25,60100,1100,1000,0,209,4,0,5,8,1,3
Circus 7,S,15900,04:39.13,15600,300,0,0,111,2,0,5,6,0,1
Circus 7,D,300,04:53.29,300,0,0,0,3,0,0,0,0,0,0
Circus 7,A,12900,04:59.39,12500,400,0,0,108,2,0,1,3,0,2
,,,,,,,,,,,,,,
Circus 8,A,10900,02:10.06,2700,0,0,8200,21,0,0,0,1,0,0
Circus 8,S,12300,02:10.30,3300,0,0,9000,21,0,0,0,1,0,0
Circus 8,S,13400,02:12.52,3400,0,0,10000,21,0,0,0,2,0,0
Circus 8,S,14600,02:15.31,4000,0,0,10600,21,0,0,0,2,0,0
Circus 8,S,14300,02:15.64,4100,0,0,10200,20,0,0,0,2,0,0
Circus 8,S,13400,02:16.25,3300,100,0,10000,21,1,0,0,2,0,0
Circus 8,A,11400,02:22.00,1400,0,0,10000,14,0,0,0,0,0,0
Circus 8,S,12900,02:28.12,1500,0,0,11400,15,0,0,0,0,0,0
Circus 8,S,15300,02:36.84,3500,0,0,11800,21,0,0,0,2,0,0
